NO.,keypoints
0,stLeftFrontFoglamp
1,stLeftFrontLight
2,stLeftFrontTyre
3,stFrontWindshieldLeftBottom
4,stLeftRearView
5,stFrontWindshieldLeftUp
6,stLeftRearTyre
7,stRearWindshieldLeftUp
8,stRearWindshieldLeftBottom
9,stLeftRearLight
10,stRightFrontFoglamp
11,stRightFrontLight
12,stRightFrontTyre
13,stFrontWindshieldRightBottom
14,stRightRearView
15,stFrontWindshieldRightUp
16,stRightRearTyre
17,stRearWindshieldRightUp
18,stRearWindshieldRightBottom
19,stRightRearLight
20,stRearLeftLogo
21,stLeftRearFoglamp
22,stRearRightLogo
23,stRightRearFoglamp
24,stSunroof
25,stLogo
26,stIntakegate
